,province,city,total,today
65,上海,虹口,"{'heal': 2632, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 6, 'adcode': '310109', 'nowConfirm': 1068, 'confirm': 3700, 'dead': 0, 'mtime': '2022-07-17 08:41:15', 'showRate': False, 'showHeal': True, 'grade': '点击查看详情', 'wzz': 0, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0}","{'isUpdated': False, 'wzz_add': '4', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0}"
66,上海,静安,"{'highRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 0, 'showHeal': True, 'provinceLocalConfirm': 0, 'mtime': '2022-07-18 07:58:18', 'nowConfirm': 853, 'confirm': 3270, 'showRate': False, 'adcode': '310106', 'dead': 1, 'heal': 2416, 'grade': '点击查看详情', 'wzz': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 2}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '7'}"
67,上海,闵行,"{'nowConfirm': 719, 'heal': 4713, 'mtime': '2022-07-18 07:58:17', 'showRate': False, 'wzz': 0, 'continueDayZeroLocalConfirm': 0, 'dead': 0, 'showHeal': True, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 0, 'confirm': 5432, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'adcode': '310112'}","{'local_confirm_add': 2, 'confirm': 2, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '2'}"
68,上海,宝山,"{'dead': 1, 'provinceLocalConfirm': 0, 'mtime': '2022-07-18 07:58:16', 'adcode': '310113', 'nowConfirm': 668, 'showHeal': True, 'wzz': 0, 'highRiskAreaNum': 0, 'confirm': 3129, 'heal': 2460, 'grade': '点击查看详情', 'continueDayZeroLocalConfirm': 0, 'showRate': False, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 0}","{'confirm': 1, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '1', 'local_confirm_add': 1}"
69,上海,长宁,"{'dead': 0, 'showHeal': True, 'mediumRiskAreaNum': 0, 'wzz': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 2, 'continueDayZeroLocalConfirm': 0, 'nowConfirm': 538, 'heal': 1876, 'provinceLocalConfirm': 0, 'mtime': '2022-07-18 07:58:18', 'confirm': 2414, 'showRate': False, 'grade': '点击查看详情', 'adcode': '310105'}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '2', 'local_confirm_add': 0}"
70,上海,普陀,"{'adcode': '310107', 'nowConfirm': 499, 'dead': 0, 'showHeal': True, 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 8, 'grade': '点击查看详情', 'mediumRiskAreaNum': 0, 'mtime': '2022-07-17 11:36:00', 'heal': 1291, 'wzz': 0, 'continueDayZeroLocalConfirm': 0, 'confirm': 1790, 'showRate': False}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
71,上海,嘉定,"{'nowConfirm': 276, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 2, 'dead': 2, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'confirm': 2636, 'heal': 2358, 'mediumRiskAreaNum': 0, 'mtime': '2022-07-17 11:32:07', 'adcode': '310114', 'showRate': False, 'showHeal': True, 'wzz': 0, 'continueDayZeroLocalConfirm': 0}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
72,上海,崇明,"{'showRate': False, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 08:42:37', 'adcode': '310151', 'confirm': 396, 'heal': 225, 'grade': '点击查看详情', 'wzz': 0, 'continueDayZeroLocalConfirm': 0, 'nowConfirm': 171, 'dead': 0, 'showHeal': True, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '2', 'local_confirm_add': 0}"
73,上海,奉贤,"{'confirm': 242, 'dead': 0, 'heal': 153, 'adcode': '310120', 'nowConfirm': 89, 'highRiskAreaNum': 0, 'showRate': False, 'showHeal': True, 'grade': '点击查看详情', 'wzz': 0, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:32:08', 'continueDayZeroLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
74,上海,松江,"{'showHeal': True, 'mediumRiskAreaNum': 0, 'nowConfirm': 84, 'showRate': False, 'heal': 2894, 'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 0, 'adcode': '310117', 'confirm': 2978, 'dead': 0, 'wzz': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 0, 'mtime': '2022-07-17 08:42:01'}","{'confirm': 1, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '3', 'local_confirm_add': 1}"
